"Simulation","Overtime_Hours","Overtime_Minutes","Last_Departure_Hours","Last_Departure_Minutes","Total_Customers"
54,0.723382685977509,43.4029611586505,10.7233826859775,643.402961158651,214
55,1.80850624438492,108.510374663095,11.8085062443849,708.510374663095,207
56,1.22651567224843,73.590940334906,11.2265156722484,673.590940334906,213
57,1.1492248680525,68.9534920831502,11.1492248680525,668.95349208315,216
58,1.7432605655909,104.595633935454,11.7432605655909,704.595633935454,197
59,0.848976545089977,50.9385927053986,10.84897654509,650.938592705399,211
60,0.670416119394208,40.2249671636525,10.6704161193942,640.224967163652,201
61,0.816211086621584,48.972665197295,10.8162110866216,648.972665197295,196
62,0.552353541023585,33.1412124614151,10.5523535410236,633.141212461415,201
63,0.754756753101065,45.2854051860639,10.7547567531011,645.285405186064,224
64,2.70260989235977,162.156593541586,12.7026098923598,762.156593541586,226
65,0.568918035268462,34.1350821161077,10.5689180352685,634.135082116108,215
66,0.853734613353293,51.2240768011976,10.8537346133533,651.224076801198,206
67,0.837875435477285,50.2725261286371,10.8378754354773,650.272526128637,229
68,0.423705386100618,25.4223231660371,10.4237053861006,625.422323166037,193
69,0.604999098526505,36.2999459115903,10.6049990985265,636.29994591159,209
70,3.12286236567883,187.37174194073,13.1228623656788,787.37174194073,225
71,1.27618489620934,76.5710937725604,11.2761848962093,676.57109377256,232
72,2.78706611265739,167.223966759443,12.7870661126574,767.223966759443,244
73,1.86202210852925,111.721326511755,11.8620221085293,711.721326511755,229
74,1.61536865597133,96.92211935828,11.6153686559713,696.92211935828,206
75,1.76296264698782,105.777758819269,11.7629626469878,705.777758819269,233
76,0,0,9.9895686163642,599.374116981852,187
77,2.01124967692667,120.6749806156,12.0112496769267,720.6749806156,222
78,1.93107523793005,115.864514275803,11.9310752379301,715.864514275803,233
79,0.204119048487776,12.2471429092666,10.2041190484878,612.247142909267,212
80,1.35047041801629,81.0282250809772,11.3504704180163,681.028225080977,203
81,1.07194698416533,64.3168190499195,11.0719469841653,664.31681904992,208
82,0.98217592699463,58.9305556196778,10.9821759269946,658.930555619678,231
83,0.633967701630977,38.0380620978586,10.633967701631,638.038062097859,205
84,0.961208826923473,57.6725296154084,10.9612088269235,657.672529615408,191
85,1.64649147143932,98.7894882863589,11.6464914714393,698.789488286359,209
86,0.615302500253192,36.9181500151915,10.6153025002532,636.918150015191,216
87,0.80205754658871,48.1234527953226,10.8020575465887,648.123452795323,204
88,1.65814162367141,99.4884974202844,11.6581416236714,699.488497420284,215
89,0.610349233932048,36.6209540359229,10.610349233932,636.620954035923,192
90,1.42569354293654,85.5416125761927,11.4256935429365,685.541612576193,218
91,0.28571730683098,17.1430384098588,10.285717306831,617.143038409859,202
92,0.580474896976266,34.828493818576,10.5804748969763,634.828493818576,195
93,1.50097000409738,90.058200245843,11.5009700040974,690.058200245843,203
94,0.355741192492628,21.3444715495577,10.3557411924926,621.344471549558,204
95,2.53029592951001,151.817755770601,12.53029592951,751.817755770601,259
96,0.170332232014305,10.2199339208583,10.1703322320143,610.219933920858,190
97,0.856783341386663,51.4070004831998,10.8567833413867,651.4070004832,195
98,1.41647668589289,84.9886011535731,11.4164766858929,684.988601153573,208
99,0.570154841810989,34.2092905086594,10.570154841811,634.209290508659,222
100,2.14785461195629,128.871276717378,12.1478546119563,728.871276717378,221
