"customer_id","arrival_time","server1_start","server1_end","server2_start","server2_end","server1_wait","server1_service","server2_wait","server2_service","total_time_in_system","total_wait_time"
19,0.806175781804907,0.806175781804907,0.840076205114343,0.993048024752822,0.997772716547955,0,0.0339004233094368,0.152971819638478,0.00472469179513357,0.191596934743049,0.152971819638478
20,0.898103691669719,0.898103691669719,0.899207109012248,0.997772716547955,1.02850824168756,0,0.00110341734252872,0.0985656075357071,0.0307355251396075,0.130404550017843,0.0985656075357071
21,0.908986132979522,0.908986132979522,0.920455509980756,1.02850824168756,1.06892536471485,0,0.0114693770012335,0.108052731706807,0.0404171230272852,0.159939231735326,0.108052731706807
22,0.938337220244416,0.938337220244416,0.955875722563201,1.06892536471485,1.0854771160323,0,0.0175385023187846,0.113049642151647,0.0165517513174565,0.147139895787888,0.113049642151647
23,0.956756393724028,0.956756393724028,0.965434860182833,1.0854771160323,1.1093392481597,0,0.00867846645880488,0.120042255849471,0.0238621321273969,0.152582854435673,0.120042255849471
24,0.960377980070746,0.965434860182833,0.999543477591645,1.1093392481597,1.11467494182641,0.00505688011208683,0.0341086174088112,0.109795770568057,0.00533569366671149,0.154296961755666,0.114852650680144
25,1.01993002729851,1.01993002729851,1.08019646011402,1.11467494182641,1.13309301541074,0,0.0602664328155047,0.0344784817123938,0.0184180735843256,0.113162988112224,0.0344784817123938
26,1.12701623809568,1.12701623809568,1.14005202712535,1.14005202712535,1.3890089685251,0,0.0130357890296728,0,0.248956941399754,0.261992730429427,0
27,1.13116025124093,1.14005202712535,1.16803142421928,1.3890089685251,1.42307996062236,0.0088917758844147,0.0279793970939306,0.220977544305824,0.0340709920972586,0.291919709381427,0.229869320190238
28,1.15232487029434,1.16803142421928,1.19356035051758,1.42307996062236,1.45679272382194,0.0157065539249417,0.0255289262983032,0.229519610104779,0.0337127631995826,0.304467853527606,0.245226164029721
29,1.1567520763771,1.19356035051758,1.22470148636724,1.45679272382194,1.50971325781592,0.0368082741404869,0.0311411358496609,0.232091237454701,0.0529205339939749,0.352961181438823,0.268899511595188
30,1.17775406925733,1.22470148636724,1.25104101235617,1.50971325781592,1.51452678406241,0.0469474171099142,0.0263395259889279,0.258672245459748,0.00481352624649523,0.336772714805085,0.305619662569662
31,1.18454114111614,1.25104101235617,1.26525906674668,1.51452678406241,1.56617484269217,0.0664998712400318,0.0142180543905124,0.24926771731573,0.0516480586297523,0.381633701576027,0.315767588555762
32,1.39744847332155,1.39744847332155,1.4035371147905,1.56617484269217,1.70129056627716,0,0.00608864146895116,0.162637727901669,0.135115723584996,0.303842092955616,0.162637727901669
33,1.40499015032487,1.40499015032487,1.54606707716709,1.70129056627716,1.80908712789572,0,0.141076926842221,0.155223489110075,0.107796561618553,0.404096977570849,0.155223489110075
34,1.43842495458573,1.54606707716709,1.55466634726966,1.80908712789572,1.87363758755793,0.107642122581362,0.00859927010256789,0.25442078062606,0.0645504596622146,0.435212632972205,0.362062903207422
35,1.50678818933726,1.55466634726966,1.60157957209836,1.87363758755793,1.89421282762186,0.0478781579323917,0.046913224828703,0.272058015459572,0.0205752400639285,0.387424638284595,0.319936173391964
36,1.51509525177915,1.60157957209836,1.62218513397596,1.89421282762186,1.93206611876323,0.0864843203192096,0.0206055618776009,0.2720276936459,0.0378532911413674,0.416970866984077,0.358512013965109
37,1.53990965091582,1.62218513397596,1.63625238606802,1.93206611876323,1.97031300950788,0.0822754830601367,0.0140672520920635,0.295813732695204,0.0382468907446536,0.430403358592057,0.37808921575534
38,1.61947868102144,1.63625238606802,1.64005319211942,1.97031300950788,2.02150109822644,0.0167737050465855,0.00380080605139854,0.330259817388459,0.0511880887185641,0.402022417205007,0.347033522435044
39,1.68294507596045,1.68294507596045,1.69408979405016,2.02150109822644,2.08165402959605,0,0.01114471808971,0.327411304176285,0.0601529313696032,0.398708953635598,0.327411304176285
40,1.69055470974762,1.69408979405016,1.69477797602134,2.08165402959605,2.15195414659018,0.00353508430254279,0.000688181971179924,0.386876053574708,0.0703001169941322,0.461399436842563,0.390411137877251
41,1.76466151734237,1.76466151734237,1.76475698847918,2.15195414659018,2.18736191495512,0,9.54711368108541e-05,0.387197158110998,0.035407768364939,0.422700397612747,0.387197158110998
42,1.77283153622411,1.77283153622411,1.83279344617137,2.18736191495512,2.33282726807801,0,0.059961909947259,0.354568468783752,0.145465353122892,0.559995731853903,0.354568468783752
43,1.79712075610822,1.83279344617137,1.88766989386136,2.33282726807801,2.44069812278846,0.0356726900631459,0.054876447689993,0.445157374216651,0.107870854710447,0.643577366680236,0.480830064279797
44,1.93910237590957,1.93910237590957,1.95960812028673,2.44069812278846,2.44139716785788,0,0.020505744377151,0.481090002501732,0.000699045069420645,0.502294791948304,0.481090002501732
45,1.95995195911898,1.95995195911898,2.02030805119693,2.44139716785788,2.49919008861473,0,0.0603560920779533,0.421089116660947,0.0577929207568473,0.539238129495748,0.421089116660947
46,1.963762031045,2.02030805119693,2.02159916755657,2.49919008861473,2.50399997804491,0.0565460201519272,0.00129111635964385,0.477590921058151,0.00480988943018001,0.540237946999902,0.534136941210078
